policy_id,exposure,named_insured_age,model_year,vehicle_age,annual_miles,credit_score,horsepower,operator_count,at_fault_accidents,territory,vehicle_type,marital_status,underwriting_company,youthful_driver,collision_deductible,collision_claim_count,collision_total_loss,collision_loss_cost
17,0.96,56,2021,4,,697.8479416589623,179.4089320034777,1,0,Suburban,Truck,Married,Standard,1,500,0,0.0,0.0
18,0.84,43,2024,1,13818.298544073605,662.8463231954403,,1,0,Rural,Truck,Single,Standard,1,250,0,0.0,0.0
19,0.79,78,2023,2,17593.307549975656,828.5502362542359,192.20372833357402,1,1,Suburban,Sedan,Single,Standard,0,1000,0,0.0,0.0
20,0.83,35,2014,11,12054.884403484197,843.759847771815,248.61576344654782,1,0,Suburban,Sedan,Married,Preferred,0,500,0,0.0,0.0
21,0.9,65,2016,9,10252.946549110198,709.5584343823058,201.9544140978409,2,0,Urban,Truck,Married,Preferred,0,500,0,0.0,0.0
22,0.56,47,2005,20,13457.634268430926,692.5631705569111,272.00859067160616,2,1,Suburban,Sports,Married,Standard,0,250,0,0.0,0.0
23,0.87,38,2013,12,12185.193627710933,706.4150328855441,113.55060517519298,1,0,Urban,SUV,Married,Standard,0,500,0,0.0,0.0
24,0.66,72,2012,13,13376.456072923986,702.8679413819768,122.51411724394904,2,0,Urban,SUV,Single,NonStandard,1,500,0,0.0,0.0
25,0.86,58,2007,18,10535.374273878915,819.638591357361,231.14545967294939,1,0,Suburban,SUV,Married,NonStandard,0,500,0,0.0,0.0
26,0.72,82,2009,16,9653.309543668862,780.7984318064174,279.365897550471,1,0,Suburban,SUV,Single,Preferred,0,1000,0,0.0,0.0
27,0.64,21,2009,16,11082.217788548469,675.7308302170452,81.02494899230868,2,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
28,0.86,54,2017,8,18998.323924096785,741.0539908225117,181.3161577591739,1,0,Rural,SUV,Single,Preferred,1,500,0,0.0,0.0
29,0.83,55,2024,1,,651.808449394309,221.21489396035406,1,0,Urban,Sedan,Single,Preferred,1,250,0,0.0,0.0
30,0.77,27,2023,2,17876.21124137401,766.1213370510297,276.0245474982558,2,0,Suburban,Truck,Single,Standard,0,250,0,0.0,0.0
31,0.62,42,2012,13,11243.346036200372,657.8851877436886,217.72286419360518,1,0,Rural,Sedan,Married,Preferred,0,500,0,0.0,0.0
32,0.67,67,2006,19,5162.621543482142,723.1480204027936,122.537747692489,1,0,Urban,Sedan,Married,Standard,0,500,0,0.0,0.0
33,0.73,53,2012,13,12862.557376745273,715.0224257182452,97.10167853026327,3,0,Urban,Truck,Married,NonStandard,0,1000,0,0.0,0.0
34,0.56,49,2013,12,14263.984095526572,665.9759503044091,168.25296101050253,3,0,Rural,Sedan,Married,Preferred,0,1000,0,0.0,0.0
35,0.51,73,2014,11,13402.328110716155,729.9995185780758,,1,0,Urban,Sports,Single,NonStandard,0,500,0,0.0,0.0
36,0.98,21,2013,12,13907.73482632587,722.7564542944477,164.92089317337962,1,0,Suburban,Sports,Single,Preferred,0,500,0,0.0,0.0
37,0.56,56,2017,8,11614.398076804906,843.1538033770636,112.8431248862076,3,0,Urban,Sedan,Married,Preferred,0,500,0,0.0,0.0
38,0.93,50,2017,8,15687.925141856476,,236.85164334989204,2,0,Suburban,Truck,Single,Standard,0,500,0,0.0,0.0
39,0.67,76,2008,17,12028.889354530007,804.4184155202867,154.88702397972855,2,0,Urban,Truck,Single,Standard,0,500,0,0.0,0.0
40,0.87,40,2006,19,10490.270480576173,630.7400489792386,166.41413709431134,3,1,Urban,SUV,Single,Standard,0,500,0,0.0,0.0
41,0.87,29,2011,14,11355.90300298078,731.8869841781361,207.52239342186,1,2,Rural,SUV,Married,NonStandard,0,1000,0,0.0,0.0
42,0.63,47,2006,19,9268.540908499175,643.6597500297576,249.57202219436965,1,0,Suburban,Sedan,Married,NonStandard,0,500,0,0.0,0.0
43,0.94,30,2010,15,12065.576173320675,684.9067453872254,252.42052963424092,2,1,Rural,SUV,Single,NonStandard,0,250,0,0.0,0.0
44,0.99,32,2024,1,3000.0,802.5445372837854,137.09743481701457,1,0,Suburban,SUV,Single,Preferred,0,250,0,0.0,0.0
45,0.87,25,2020,5,13411.14580718556,687.0598092485918,203.11419153811497,2,0,Rural,SUV,Single,Standard,0,250,0,0.0,0.0
46,0.82,50,2019,6,11731.78579491267,691.8358299053344,229.16320270970442,1,0,Rural,Sedan,Married,Preferred,0,500,0,0.0,0.0
47,0.73,25,2021,4,16930.008761205358,720.9102809300834,163.10398396172957,4,1,Suburban,Sedan,Married,Preferred,0,500,1,598.9035217280172,820.4157831890647
48,0.95,84,2022,3,11679.852637977412,760.3275705242162,149.8074601590937,2,1,Suburban,SUV,Married,Standard,0,1000,0,0.0,0.0
49,0.89,38,2019,6,9401.34347384364,660.4137474099641,183.50812415725778,2,1,Rural,SUV,Single,Preferred,0,250,0,0.0,0.0
50,0.74,79,2008,17,11831.743325987823,740.737582551612,236.58775496971847,2,0,Rural,Truck,Married,Preferred,1,500,0,0.0,0.0
51,0.87,54,2017,8,12825.961159388826,641.1213382211201,150.94710501171,1,0,Suburban,Truck,Single,NonStandard,0,500,0,0.0,0.0
52,0.62,50,2017,8,7895.151217885475,749.3622276989016,237.79775691302078,1,0,Urban,Sedan,Single,Preferred,1,1000,0,0.0,0.0
53,0.78,51,2024,1,8678.027173933408,555.3231597253155,187.70020832431052,3,0,Urban,Sedan,Single,NonStandard,0,500,0,0.0,0.0
54,0.89,84,2011,14,14656.995890102758,674.919856982554,226.27122953072242,4,0,Suburban,Truck,Married,Standard,1,1000,0,0.0,0.0
55,0.54,82,2014,11,13301.030699887562,719.3181836445342,207.46070877839216,2,0,Rural,Sedan,Single,Standard,1,500,0,0.0,0.0
56,0.52,32,2014,11,16301.775786939903,727.7586661177198,126.85818087021622,3,2,Urban,SUV,Married,Standard,0,1000,0,0.0,0.0
57,0.96,61,2009,16,9636.22507572422,727.576861788783,189.15222895719893,4,0,Suburban,Sedan,Single,Preferred,0,1000,0,0.0,0.0
58,0.83,51,2023,2,14028.996162232263,603.1586496390988,192.58104837790125,1,1,Urban,SUV,Married,Standard,0,500,1,902.5077697376726,1087.3587587200875
59,0.6,50,2016,9,12325.246942126327,738.5882501447568,70.0,1,0,Suburban,Sedan,Married,Preferred,0,500,0,0.0,0.0
60,0.59,69,2024,1,11805.18344571722,730.7097686306865,160.14628065200762,2,0,Rural,SUV,Married,Standard,0,500,0,0.0,0.0
61,0.82,78,2011,14,11963.494041448892,677.8171121699802,206.96933807998565,1,0,Urban,SUV,Single,Standard,0,1000,0,0.0,0.0
62,0.96,37,2011,14,10146.61276976023,604.5421507966915,137.72062263844853,2,0,Rural,Sedan,Married,NonStandard,1,1000,0,0.0,0.0
63,0.85,20,2020,5,15245.577331551523,,183.52056927048855,3,0,Suburban,Truck,Single,Standard,0,500,0,0.0,0.0
64,0.96,73,2020,5,9503.396534285985,719.4965273936393,,3,0,Urban,Sports,Married,Preferred,1,250,0,0.0,0.0
65,0.54,55,2019,6,14079.236627389337,650.5219025044588,120.90337208690141,2,0,Suburban,Sedan,Single,Standard,0,500,0,0.0,0.0
66,0.92,32,2009,16,16441.06420579418,732.9965157301575,182.18030580965478,4,0,Suburban,Sports,Married,NonStandard,0,250,0,0.0,0.0
67,0.88,66,2013,12,8820.422269038563,695.6559493238651,290.6669480039445,2,0,Suburban,SUV,Married,Preferred,0,1000,0,0.0,0.0
68,0.83,39,2018,7,10785.65772472041,568.1446849001197,191.97966650546965,3,0,Suburban,SUV,Married,Standard,1,250,0,0.0,0.0
69,0.71,51,2021,4,8235.322391805108,642.2292455895089,195.03010450654367,1,0,Suburban,Sedan,Single,Standard,0,500,0,0.0,0.0
70,0.77,35,2015,10,11917.852065617224,759.9831096394814,124.44958243600243,1,0,Urban,Sedan,Single,Standard,0,500,1,1483.6473089031947,1926.814686887266
71,0.94,52,2024,1,15876.629492621234,790.1987581885887,293.39164120137923,3,1,Urban,Sports,Single,NonStandard,1,1000,0,0.0,0.0
72,0.81,31,2012,13,11009.659141882852,728.9713981264199,145.70623806796573,2,0,Rural,SUV,Married,Standard,0,500,0,0.0,0.0
73,0.75,53,2021,4,11288.667599543065,644.4557895118783,276.9968308903022,2,0,Rural,SUV,Married,Preferred,0,500,0,0.0,0.0
74,0.6,26,2022,3,15537.226887996687,696.8200089219164,70.0,3,1,Suburban,Sedan,Single,Preferred,0,500,0,0.0,0.0
75,0.67,53,2014,11,11027.25355804466,651.8745858263587,187.03079681936956,1,3,Suburban,Truck,Single,Standard,0,1000,0,0.0,0.0
76,0.96,32,2006,19,15435.409422185694,739.7162477846591,126.55614025476058,1,2,Urban,SUV,Single,NonStandard,0,500,1,1307.0100630241238,1361.468815650129
77,0.89,22,2008,17,10360.70518858698,680.3842588528304,243.64356510497538,1,0,Rural,SUV,Married,Preferred,1,500,0,0.0,0.0
78,0.5,56,2014,11,10934.397811723931,817.6428420108555,169.54531063959664,2,0,Rural,Sports,Married,NonStandard,1,500,0,0.0,0.0
79,0.69,40,2012,13,14771.595299933288,571.5583169444918,169.9007962733881,2,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
80,0.56,18,2014,11,19493.35821839914,737.1990545952384,206.79169982993545,1,0,Urban,Sedan,Married,Standard,0,500,0,0.0,0.0
81,0.71,72,2014,11,10362.543121523631,671.3470275663491,88.37517267357845,1,1,Urban,SUV,Single,Standard,0,500,0,0.0,0.0
82,1.0,50,2022,3,16092.128336269368,701.9582518413017,154.94205749821558,1,0,Rural,Truck,Married,Preferred,0,1000,0,0.0,0.0
83,0.6,34,2012,13,10387.125727536608,683.0668977400834,303.24527196699637,1,0,Suburban,Sedan,Married,Standard,0,500,0,0.0,0.0
84,0.55,61,2024,1,10366.769462812703,755.8932746566416,128.096607609451,3,1,Suburban,Sedan,Single,Standard,0,500,0,0.0,0.0
85,0.56,81,2021,4,15535.755831207116,573.2546471038587,145.27469709042103,2,0,Suburban,Truck,Married,Standard,0,500,0,0.0,0.0
86,0.68,28,2021,4,13046.651345310236,589.1497950662289,118.18433224828831,2,0,Suburban,Sedan,Married,Standard,0,500,0,0.0,0.0
87,0.74,38,2013,12,9865.291791435999,680.8810677235294,250.03623543367883,1,0,Rural,Sedan,Married,Preferred,0,1000,0,0.0,0.0
88,0.6,81,2013,12,10670.244725065519,580.3475277678419,144.08089291409334,2,0,Urban,Truck,Married,Preferred,0,500,1,1575.7136412854873,2626.1894021424787
89,0.85,78,2015,10,12100.378105261125,740.9332910156659,70.0,1,0,Suburban,SUV,Single,Standard,0,500,0,0.0,0.0
90,0.86,80,2011,14,11142.128483745595,608.5826022827728,179.9508844826197,3,0,Urban,Sedan,Married,Standard,1,250,0,0.0,0.0
91,0.63,69,2008,17,14432.306501116778,602.0528023872398,132.82845746241068,3,3,Suburban,Sedan,Single,Standard,0,500,0,0.0,0.0
92,0.94,27,2014,11,11445.027679841925,618.5754024631641,200.09580531442842,1,3,Urban,Sedan,Single,Preferred,0,250,0,0.0,0.0
93,0.68,50,2005,20,11504.706859346494,723.063847604839,131.68987720897255,1,1,Urban,SUV,Married,Standard,0,500,0,0.0,0.0
94,0.82,82,2008,17,8398.619068210719,675.1766763623973,119.4461538190761,2,0,Rural,Truck,Married,Standard,0,500,1,874.5459425129698,1066.5194420889875
95,0.54,26,2016,9,11756.182030489927,777.0795976069019,189.62245237081555,2,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
96,0.83,66,2024,1,13276.120314123444,683.6728653134126,,1,0,Suburban,SUV,Married,Standard,1,1000,0,0.0,0.0
97,0.96,77,2021,4,9941.792099955586,796.4290013747392,249.56057526861377,1,0,Rural,SUV,Single,NonStandard,1,1000,1,1205.7954748628708,1256.0369529821571
98,0.7,57,2005,20,12424.88122657389,631.4278326800356,173.200331788123,3,0,Urban,Sedan,Single,Standard,0,1000,0,0.0,0.0
99,0.7,68,2014,11,11048.495876729674,665.6870266447187,167.3163952251162,1,0,Rural,SUV,Single,Preferred,0,1000,0,0.0,0.0
100,0.8,77,2007,18,10429.524198861149,750.5156879138068,247.3882338133771,2,0,Urban,SUV,Single,Standard,0,500,0,0.0,0.0
101,0.66,26,2013,12,11775.654197903361,698.2155832006129,120.29233561115174,3,0,Urban,Sedan,Married,Preferred,0,500,0,0.0,0.0
102,0.99,43,2021,4,15792.357679848723,648.3863545516641,145.3094119474366,3,0,Rural,Sedan,Single,Standard,1,500,0,0.0,0.0
103,0.8,82,2022,3,11234.320291401526,623.4144565623085,299.97125967617353,2,0,Rural,Sedan,Married,NonStandard,0,500,0,0.0,0.0
104,0.59,56,2013,12,11561.84404540651,687.9172947935434,219.11125921401836,1,0,Rural,SUV,Single,Standard,1,500,0,0.0,0.0
105,0.58,65,2008,17,11448.59648521227,660.8442048586019,142.02155540318182,2,0,Suburban,Sedan,Single,Standard,0,500,0,0.0,0.0
106,0.88,41,2019,6,,664.3194045554483,,1,0,Rural,Truck,Single,Preferred,0,250,1,3965.961332412415,4506.774241377744
107,0.69,59,2011,14,13218.48731245261,676.3642940098714,,2,0,Urban,SUV,Single,Preferred,0,250,0,0.0,0.0
108,0.76,63,2021,4,10236.200287653513,701.4137855022252,233.41821554765903,2,0,Urban,SUV,Single,Standard,1,500,0,0.0,0.0
109,0.95,81,2018,7,15143.035454918447,752.9104853566951,196.50995955185755,1,2,Urban,Truck,Single,NonStandard,1,1000,0,0.0,0.0
110,1.0,31,2011,14,9919.11954487071,848.407902590981,244.37590459062105,2,0,Urban,SUV,Single,Standard,1,500,0,0.0,0.0
111,0.56,71,2020,5,11909.313814597246,696.332113690062,155.670092873164,2,0,Urban,Truck,Married,Standard,0,250,0,0.0,0.0
112,0.59,69,2007,18,10694.390323682392,628.4427396352347,101.38193897883556,1,0,Urban,SUV,Single,Standard,0,250,0,0.0,0.0
113,0.52,75,2023,2,16266.334660364437,554.9136167572135,242.37232251204455,2,0,Suburban,Sedan,Single,NonStandard,1,500,0,0.0,0.0
114,0.95,19,2005,20,13346.379483196293,782.6579281571373,212.9432463850292,1,1,Rural,Truck,Single,Standard,0,500,1,519.5444381952013,546.8888823107383
115,0.62,43,2005,20,8964.370998395189,737.806231743485,249.41821383927447,2,0,Urban,Sedan,Single,Preferred,0,500,0,0.0,0.0
116,0.81,78,2017,8,15559.558628718198,675.2562017477907,251.31858115573374,3,0,Suburban,Sports,Married,Standard,0,500,0,0.0,0.0
117,0.58,29,2020,5,17185.38688661577,,140.8874307120941,2,0,Suburban,Sedan,Married,Standard,1,500,0,0.0,0.0
118,0.91,54,2007,18,14702.197455821486,671.6165846802041,70.0,3,1,Suburban,Truck,Married,NonStandard,1,250,0,0.0,0.0
119,0.75,48,2022,3,10828.181179353118,616.0770327840587,,1,0,Rural,Truck,Single,Preferred,1,250,0,0.0,0.0
120,0.76,51,2023,2,8713.390687898547,699.4699823819295,,1,0,Rural,Sedan,Single,Preferred,0,1000,0,0.0,0.0
121,0.53,31,2014,11,12690.028198905067,747.3007482132621,181.8733381101508,2,1,Urban,Truck,Married,Standard,0,1000,0,0.0,0.0
122,0.78,37,2019,6,17188.540103274594,700.8143856562607,132.52181070370767,2,0,Suburban,Sedan,Single,Standard,1,500,0,0.0,0.0
123,0.81,56,2010,15,11593.110035411826,728.5586247392554,98.86014609324351,1,0,Suburban,SUV,Married,Preferred,0,500,0,0.0,0.0
124,0.58,72,2007,18,12600.677254550827,747.2751448754441,198.89686101796158,1,0,Suburban,Sedan,Married,NonStandard,0,500,0,0.0,0.0
125,0.67,27,2015,10,11422.517683993412,721.3887880201527,116.29779767106689,1,0,Suburban,SUV,Married,Preferred,1,1000,0,0.0,0.0
126,0.78,44,2023,2,15372.518035629802,655.0447813425552,76.74676435618139,2,0,Urban,Sedan,Married,Preferred,1,500,0,0.0,0.0
127,0.98,31,2018,7,9976.996950296983,760.2025127306287,132.69638839555645,1,1,Suburban,Sedan,Married,Preferred,0,250,0,0.0,0.0
128,0.94,37,2013,12,13528.128802292256,660.8920925918667,251.51255898399228,2,0,Urban,SUV,Single,Preferred,1,1000,0,0.0,0.0
129,0.68,36,2013,12,9399.712447358708,744.7820359768947,234.14789169420663,1,0,Urban,SUV,Married,NonStandard,0,1000,0,0.0,0.0
130,0.66,75,2017,8,12958.955662526634,663.900234269486,212.51723926776245,1,0,Urban,SUV,Married,NonStandard,0,500,0,0.0,0.0
131,0.71,49,2023,2,9835.109655512526,783.8121238648354,122.25454114825203,2,0,Rural,Sports,Married,Standard,0,500,0,0.0,0.0
132,0.88,84,2019,6,12372.952204968291,707.8195360116272,241.28665588743195,1,0,Urban,SUV,Married,NonStandard,1,500,0,0.0,0.0
133,0.87,45,2013,12,15362.849713371963,678.2005458914321,226.022774498956,2,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
134,0.57,63,2008,17,14718.02966253259,645.3199289931332,210.52030296296846,3,0,Urban,SUV,Single,Standard,0,250,0,0.0,0.0
135,0.55,35,2005,20,10438.120137660064,682.0798505935915,168.003488733232,1,1,Urban,Sedan,Married,Standard,0,500,0,0.0,0.0
136,0.98,66,2017,8,6944.05110152136,846.5567536255337,162.61454477942078,2,1,Urban,SUV,Married,Preferred,0,500,0,0.0,0.0
137,0.87,69,2022,3,7771.130030992542,654.1262478955858,271.3684958922388,1,0,Urban,SUV,Married,Standard,0,500,0,0.0,0.0
138,0.86,64,2023,2,11427.531209491906,772.7010630813746,141.72474925356255,1,0,Suburban,SUV,Single,Standard,0,500,0,0.0,0.0
139,0.84,31,2018,7,13137.778895126556,686.6184363166695,157.4271545887093,1,3,Urban,SUV,Single,Preferred,0,500,0,0.0,0.0
140,0.72,65,2010,15,8507.903038110282,,143.76533859531986,3,0,Rural,Truck,Married,Preferred,1,500,0,0.0,0.0
141,0.64,38,2017,8,16386.87201522131,587.4145025034911,221.80690006608037,1,0,Urban,Sports,Single,Standard,1,500,0,0.0,0.0
142,0.56,18,2021,4,15491.362287833232,648.3734968833822,166.34987073629608,3,1,Suburban,SUV,Single,Standard,1,500,0,0.0,0.0
143,0.84,33,2023,2,7021.467868884433,664.4846293637138,182.23278957420968,2,1,Rural,SUV,Married,NonStandard,0,500,0,0.0,0.0
144,0.72,57,2020,5,19969.449635472814,679.9451082203066,203.05990230640717,2,0,Suburban,Truck,Married,Standard,0,250,0,0.0,0.0
145,0.69,29,2023,2,15284.960517300922,,131.13880562820393,1,0,Urban,Sedan,Married,Preferred,1,500,0,0.0,0.0
146,0.7,32,2008,17,8434.513619572852,626.5415784389852,70.0,3,1,Suburban,Sedan,Single,Preferred,0,500,0,0.0,0.0
147,0.66,40,2013,12,7166.433308701097,785.9754596364513,223.178866585504,4,3,Rural,Sedan,Married,Preferred,1,1000,0,0.0,0.0
148,0.97,32,2008,17,12879.860587662932,623.116916492122,353.1996407819631,1,0,Suburban,Sports,Married,Standard,0,500,0,0.0,0.0
149,0.68,27,2015,10,,502.37082129811574,191.7383565772799,1,1,Urban,Truck,Single,Standard,0,1000,0,0.0,0.0
150,0.92,52,2008,17,14458.454516940477,733.8937745304953,146.43088538954382,2,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
151,0.62,72,2022,3,,727.2869861727216,201.9648955045671,1,1,Urban,SUV,Married,Standard,0,1000,0,0.0,0.0
152,0.79,43,2023,2,11636.210764167346,651.4948002052097,114.73635122360803,1,2,Urban,SUV,Married,Standard,0,1000,0,0.0,0.0
153,0.95,70,2012,13,10673.262996322683,,129.45087937406538,2,3,Suburban,SUV,Single,Preferred,1,500,0,0.0,0.0
154,0.61,39,2021,4,13745.686830924165,667.1314633301305,125.00539792289723,2,0,Rural,Sedan,Married,Standard,0,250,1,1036.5286246640514,1699.2272535476254
155,0.84,26,2023,2,8693.579402494135,,223.7286876352146,3,0,Urban,Sedan,Married,NonStandard,0,500,0,0.0,0.0
156,0.9,66,2008,17,10057.52983587763,700.0192624966556,259.22369640597867,1,0,Suburban,SUV,Single,Standard,0,500,0,0.0,0.0
157,0.92,37,2023,2,13936.937323015156,725.1372381209658,70.0,2,0,Suburban,SUV,Single,Standard,0,500,0,0.0,0.0
158,0.51,54,2018,7,14485.348887250462,850.0,102.12787160613614,1,0,Urban,Truck,Single,Preferred,0,500,0,0.0,0.0
159,0.64,45,2013,12,,,296.3619794910895,1,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
160,0.81,53,2023,2,9423.245185352935,632.7481714587067,230.56765774094603,1,0,Suburban,Sedan,Single,Standard,1,500,0,0.0,0.0
161,0.79,63,2009,16,17197.267666677293,686.3242275167775,70.0,1,0,Suburban,SUV,Married,Preferred,0,1000,0,0.0,0.0
162,1.0,68,2006,19,9373.531791602483,792.1827197700538,185.28677752907402,1,0,Urban,Sedan,Single,Standard,0,500,1,2596.56580818288,2596.56580818288
163,0.63,44,2011,14,8491.936626022985,787.5657894164411,152.3437253735423,1,0,Suburban,Truck,Single,Standard,0,500,0,0.0,0.0
164,0.66,69,2012,13,10352.335911998305,646.8792239422003,287.40998529978265,3,0,Urban,Sedan,Married,NonStandard,0,250,0,0.0,0.0
165,0.78,27,2023,2,8960.171551025813,690.4071352132866,187.17534678909058,2,0,Urban,SUV,Married,NonStandard,0,500,0,0.0,0.0
166,0.94,40,2011,14,14568.761245686848,718.0158080436341,,1,1,Urban,SUV,Single,NonStandard,0,250,0,0.0,0.0
167,0.6,27,2019,6,9232.555858315685,757.3492541531318,132.95977757757242,1,1,Urban,SUV,Married,NonStandard,1,500,0,0.0,0.0
168,0.94,59,2017,8,8966.204567431807,624.2595009604072,229.3278584846635,1,0,Urban,Truck,Married,Standard,0,500,0,0.0,0.0
169,0.67,19,2021,4,14405.169565571625,656.0449183396995,,2,0,Suburban,Truck,Married,NonStandard,0,1000,0,0.0,0.0
170,0.71,73,2005,20,14158.482979687744,674.8449088748345,227.19315341313708,2,0,Suburban,Truck,Married,Preferred,0,250,0,0.0,0.0
171,0.67,83,2024,1,16803.620889728678,771.8297818251174,269.2629563217272,2,0,Urban,SUV,Single,Preferred,0,500,0,0.0,0.0
172,0.84,22,2010,15,10276.244166878361,697.9213852277588,229.84031216854962,3,0,Rural,Sedan,Single,Preferred,0,250,0,0.0,0.0
173,0.61,70,2015,10,4915.345082623963,747.9569858855435,168.07099859263818,1,0,Suburban,Truck,Single,NonStandard,1,500,0,0.0,0.0
174,0.53,30,2021,4,13093.96187435598,766.2273765388959,187.04269177061846,1,0,Rural,Sedan,Single,Standard,1,1000,0,0.0,0.0
175,0.86,55,2009,16,14166.240714558138,567.9024926468034,264.18530836417324,2,0,Urban,Truck,Married,NonStandard,1,500,0,0.0,0.0
176,0.99,71,2006,19,14126.809589225833,600.0506334647387,116.79185846913133,1,1,Urban,SUV,Married,Standard,1,250,1,907.3490572999195,916.514199292848
177,0.55,70,2022,3,16092.589998536107,796.2908386127535,209.64334135798345,3,0,Urban,Sedan,Single,Standard,1,500,0,0.0,0.0
178,0.78,28,2005,20,15876.8826586337,738.8455386342424,126.92288682507262,3,1,Rural,Truck,Married,Preferred,0,500,0,0.0,0.0
179,0.62,61,2011,14,15066.053006369917,671.9145001494434,154.51619512431878,1,0,Suburban,SUV,Married,Preferred,1,500,0,0.0,0.0
180,0.72,43,2024,1,14739.646018538482,758.8319394673988,201.42857051605634,1,0,Urban,Truck,Single,Standard,0,500,0,0.0,0.0
181,0.8,64,2021,4,14975.456412233274,519.2195133344106,263.75033998326114,2,0,Suburban,SUV,Married,Standard,1,250,0,0.0,0.0
182,0.75,50,2007,18,15712.714189617012,608.5792459847822,147.3704871376052,2,0,Urban,SUV,Married,Preferred,0,500,0,0.0,0.0
183,0.67,27,2015,10,9123.722532006668,774.7363446149309,90.73827590604374,2,0,Suburban,Sedan,Single,Standard,0,500,0,0.0,0.0
184,0.54,82,2013,12,11968.765574964676,813.5416622892294,220.48179935601382,2,0,Urban,Truck,Married,Preferred,0,500,0,0.0,0.0
185,0.83,74,2011,14,13011.943781573389,747.7534704660505,212.4720056096218,1,0,Suburban,SUV,Married,Standard,0,500,0,0.0,0.0
186,0.86,80,2005,20,17446.632270609276,610.9754278240514,151.695029675192,4,1,Urban,Sedan,Single,Standard,1,500,0,0.0,0.0
187,0.94,50,2024,1,10777.087353925568,679.218497747061,114.32541659212652,1,0,Rural,SUV,Married,Standard,0,250,0,0.0,0.0
188,0.75,37,2013,12,10730.30263832522,702.5016452247796,132.90550422082794,1,1,Suburban,Sedan,Married,Standard,0,500,0,0.0,0.0
189,0.9,70,2015,10,8272.085515917404,529.9702982651206,147.86292463072618,2,0,Rural,Truck,Single,Preferred,0,500,0,0.0,0.0
190,0.88,52,2023,2,8877.560162060066,686.7822701980282,193.16407970108503,2,0,Suburban,SUV,Single,Preferred,1,250,0,0.0,0.0
191,0.62,76,2018,7,11545.079737658583,716.9466681765329,238.3908337176384,1,0,Urban,Sedan,Married,Standard,0,250,1,939.5029892190068,1515.32740196614
192,0.99,22,2017,8,15326.705955062951,775.9097568298531,160.78252492348676,1,0,Urban,Truck,Single,Standard,0,500,0,0.0,0.0
193,0.89,45,2016,9,12766.778492337862,769.8695176599787,283.2219600140848,3,3,Urban,SUV,Married,Preferred,0,500,0,0.0,0.0
194,0.93,77,2005,20,5123.442658830422,694.6874266612857,116.27050631760062,1,0,Rural,Sedan,Married,Preferred,0,250,0,0.0,0.0
